*** Booting nRF Connect SDK v3.1.1-e2a97fe2578a ***
*** Using Zephyr OS v4.1.99-ff8f0c579eeb ***
timestamp (ms), ADC_reading (mV)
502, 1206
503, 1222
504, 1353
505, 1424
506, 1437
507, 1479
508, 1539
509, 1614
510, 1652
511, 1648
512, 1673
513, 1632
514, 1450
515, 1317
516, 1257
517, 1226
518, 1225
519, 1240
520, 1362
521, 1426
522, 1396
523, 1461
524, 1538
525, 1611
526, 1653
527, 1687
528, 1708
529, 1647
530, 1478
531, 1341
532, 1278
534, 1244
535, 1219
536, 1265
537, 1365
538, 1396
539, 1377
540, 1429
541, 1523
542, 1596
543, 1638
544, 1723
545, 1749
546, 1642
547, 1498
548, 1362
549, 1289
550, 1252
551, 1223
552, 1295
553, 1370
554, 1363
555, 1344
556, 1403
557, 1496
558, 1568
559, 1638
560, 1752
561, 1768
562, 1640
563, 1524
564, 1411
565, 1311
566, 1261
567, 1254
568, 1319
569, 1357
570, 1328
571, 1330
572, 1393
573, 1474
574, 1549
576, 1648
577, 1760
578, 1699
579, 1559
580, 1513
581, 1438
582, 1341
583, 1266
584, 1285
585, 1338
586, 1331
587, 1313
588, 1312
589, 1367
590, 1460
591, 1516
592, 1656
5939736, 1382
9737, 1739
9738, 1593
9739, 1352
9740, 1822
9741, 1920
9742, 1565
9743, 959
9744, 716
9745, 942
9746, 762
9747, 780
9748, 1453
9749, 1769
9750, 1611
9751, 1317
9752, 1425
9753, 1682
9755, 1536
9756, 1554
9757, 2053
9758, 2099
9759, 1532
9760, 1033
9761, 1003
9762, 971
9763, 735
9764, 979
9765, 1563
9766, 1711
9767, 1418
9768, 1212
9769, 1507
9770, 1638
9771, 1501
9772, 1851
9773, 2208
9774, 2088
9775, 1418
9776, 862
9777, 943
9778, 782
9779, 530
9780, 1032
9781, 1504
9782, 1572
9783, 1304
9784, 1292
9785, 1820
9786, 1857
9787, 1762
9788, 2185
9789, 2322
9790, 2079
9791, 1415
9792, 1150
9793, 1321
9794, 1055
9795, 951
9796, 1366
9798, 1605
9799, 1542
9800, 1314
9801, 1465
9802, 1809
9803, 1909
9804, 2052
9805, 2284
9806, 2295
9807, 2220
9808, 1888
9809, 1609
9810, 1499
9811, 1428
9812, 1511
9813, 1733
9814, 1928
9815, 2042
9816, 1919
9817, 1915
9818, 1985
9819, 2071
9820, 2220
9821, 2362
9822, 2409
9823, 2394
9824, 2099
9825, 1741
9826, 1456
9827, 1301
9828, 1237
9829, 1224
9830, 1306
9831, 1462
9832, 1576
9833, 1779
9834, 1972
9835, 2129
9836, 2316
9837, 2370
9838, 2279
9840, 2158
9841, 2021
9842, 1815
9843, 1669
9844, 1555
9845, 1467
9846, 1386
9847, 1399
9848, 1496
9849, 1591
9850, 1642
9851, 1813
9852, 2001
9853, 2178
9854, 2296
9855, 2308
9856, 2230
9857, 2224
9858, 1970
9859, 1690
9860, 1478
9861, 1357
9862, 1280
9863, 1253
9864, 1357
9865, 1528
9866, 1573
9867, 1746
9868, 1892
9869, 2041
9870, 2163
9871, 2195
9872, 2107
9873, 2073
9874, 1874
9875, 1623
9876, 1447
9877, 1403
9878, 1364
9879, 1286
9880, 1291
9881, 1474
9883, 1552
9884, 1687
9885, 1874
9886, 2011
9887, 2098
9888, 2127
9889, 2127
9890, 2140
9891, 1960
9892, 1686
9893, 1498
9894, 1353
9895, 1268
9896, 1199
9897, 1218
9898, 1385
9899, 1496
9900, 1621
9901, 1824
9902, 1990
9903, 2076
9904, 2078
9905, 2020
9906, 1963
9907, 1911
9908, 1690
9909, 1472
9910, 1306
9911, 1159
9912, 1064
9913, 1073
9914, 1183
9915, 1340
9916, 1391
9917, 1573
9918, 1772
9919, 1959
9920, 2104
9921, 2149
9922, 2082
9923, 2069
9924, 1837
9926, 1592
9927, 1389
9928, 1234
9929, 1142
9930, 1106
9931, 1148
9932, 1325
9933, 1395
9934, 1547
9935, 1707
9936, 1846
9937, 1950
9938, 2023
9939, 2012
9940, 2049
9941, 1936
9942, 1686
9943, 1422
9944, 1245
9945, 1131
9946, 1083
9947, 1107
9948, 1237
9949, 1380
9950, 1565
9951, 1574
9952, 1542
9953, 1483
9954, 1500
9955, 1337
9956, 1176
9957, 1521
9958, 1534
9959, 976
9960, 566
9961, 492
9962, 479
9963, 408
9964, 599
9965, 1193
9966, 1493
9968, 1241
9969, 1140
9970, 1296
9971, 1364
9972, 1266
9973, 1334
9974, 1724
9975, 1623
9976, 986
9977, 616
9978, 675
9979, 641
9980, 533
9981, 943
9982, 1483
9983, 1508
9984, 1239
9985, 1052
9986, 1282
9987, 1368
9988, 1218
9989, 1575
9990, 1893
9991, 1560
9992, 999
9993, 618
9994, 759
9995, 735
9996, 545
9997, 1071
9998, 1535
9999, 1346
10000, 1213
10001, 1186
10002, 1362
10003, 1344
10004, 1291
10005, 1783
10006, 2039
10007, 1536
10008, 981
10009, 760
10011, 720
10012, 575
10013, 611
10014, 1120
10015, 1456
10016, 1130
10017, 936
10018, 1168
10019, 1368
10020, 1380
10021, 1656
10022, 2103
10023, 2163
10024, 1639
10025, 1075
10026, 1023
10027, 873
10028, 588
10029, 896
10030, 1246
10031, 1289
10032, 977
10033, 745
10034, 1138
10035, 1236
10036, 1183
10037, 1803
10038, 2193
10039, 2012
10040, 1559
10041, 1045
10042, 1036
10043, 812
10044, 631
10045, 1154
10046, 1428
10047, 1178
10048, 949
10049, 941
10050, 1300
10051, 1312
10052, 1386
10054, 2022
10055, 2303
10056, 1892
10057, 1429
10058, 1160
10059, 994
10060, 641
10061, 667
10062, 1147
10063, 1278
10064, 911
10065, 731
10066, 891
10067, 1109
10068, 1134
10069, 1530
10070, 2113
10071, 2279
10072, 1982
10073, 1838
10074, 1936
10075, 1770
10076, 1451
10077, 1424
10078, 1438
10079, 1363
10080, 1289
10081, 1402
10082, 1576
10083, 1709
10084, 1887
10085, 2102
10086, 2284
10087, 2349
10088, 2293
10089, 2191
10090, 2135
10091, 1891
10092, 1661
10093, 1551
10094, 1483
10096, 1412
10097, 1380
10098, 1486
10099, 1694
10100, 1721
10101, 1814
10102, 1968
10103, 2157
10104, 2275
10105, 2270
10106, 2160
10107, 2101
10108, 1889
10109, 1653
10110, 1492
10111, 1390
10112, 1338
10113, 1326
10114, 1415
10115, 1576
10116, 1627
10117, 1788
10118, 1980
10119, 2143
10120, 2253
10121, 2231
10122, 2118
10123, 2016
10124, 1788
10125, 1549
10126, 1426
10127, 1354
10128, 1314
10129, 1267
10130, 1320
10131, 1542
10132, 1730
10133, 1900
10134, 2062
10135, 2142
10136, 2148
10137, 2102
10139, 2065
10140, 2040
10141, 1971
10142, 1714
10143, 1429
10144, 1297
10145, 1278
10146, 1173
10147, 1114
10148, 1211
10149, 1348
10150, 1471
10151, 1662
10152, 1808
10153, 1952
10154, 2056
10155, 2110
10156, 2087
10157, 2033
10158, 1853
10159, 1644
10160, 1443
10161, 1315
10162, 1290
10163, 1263
10164, 1284
10165, 1365
10166, 1472
10167, 1651
10168, 1808
10169, 1962
10170, 2101
10171, 2144
10172, 2099
10173, 1995
10174, 1817
10175, 1596
10176, 1418
10177, 1296
10178, 1227
10179, 1170
10180, 1201
10182, 1303
10183, 1391
10184, 1551
10185, 1732
10186, 1899
10187, 2052
10188, 2112
10189, 2086
10190, 1974
10191, 1837
10192, 1644
10193, 1450
10194, 1268
10195, 1154
10196, 1085
10197, 1102
10198, 1196
10199, 1297
10200, 1454
10201, 1646
10202, 1813
10203, 1956
10204, 2040
10205, 2042
10206, 1952
10207, 1827
10208, 1636
10209, 1451
10210, 1351
10211, 1300
10212, 1276
10213, 1300
10214, 1455
10215, 1581
10216, 1622
10217, 1643
10218, 1666
10219, 1753
10220, 1840
10221, 1913
10222, 1917
10224, 1834
10225, 1662
10226, 1465
10227, 1328
10228, 1281
10229, 1299
10230, 1298
10231, 1275
10232, 1305
10233, 1363
10234, 1494
10235, 1629
10236, 1799
10237, 1983
10238, 2081
10239, 2108
10240, 2047
10241, 1865
10242, 1548
10243, 1194
10244, 965
10245, 923
10246, 974
10247, 1038
10248, 1113
10249, 1244
10250, 1519
10251, 1748
10252, 1891
10253, 2020
10254, 2021
10255, 1943
10256, 1888
10257, 1803
10258, 1597
10259, 1386
10260, 1234
10261, 1147
10262, 1090
10263, 1085
10264, 1166
10265, 1255
10267, 1404
10268, 1582
10269, 1741
10270, 1902
10271, 1994
10272, 2002
10273, 1923
10274, 1806
10275, 1614
10276, 1376
10277, 1215
10278, 1127
10279, 1080
10280, 1052
10281, 1117
10282, 1222
10283, 1329
10284, 1534
10285, 1789
10286, 2022
10287, 2110
10288, 2062
10289, 1955
10290, 1872
10291, 1746
10292, 1512
10293, 1319
10294, 1206
10295, 1180
10296, 1131
10297, 1138
10298, 1196
10299, 1273
10300, 1450
10301, 1678
10302, 1844
10303, 1961
10304, 1985
10305, 1911
10306, 1808
10307, 1688
10308, 1482
10310, 1300
10311, 1182
10312, 1119
10313, 1045
10314, 1052
10315, 1188
10316, 1361
10317, 1514
10318, 1599
10319, 1640
10320, 1758
10321, 1832
10322, 1841
10323, 1800
10324, 1769
10325, 1628
10326, 1419
10327, 1282
10328, 1243
10329, 1182
10330, 1115
10331, 1130
10332, 1180
10333, 1291
10334, 1525
10335, 1769
10336, 1934
10337, 2000
10338, 1973
10339, 1915
10340, 1830
10341, 1644
10342, 1393
10343, 1199
10344, 1089
10345, 1047
10346, 1017
10347, 1069
10348, 1162
10349, 1268
10350, 1449
10352, 1628
10353, 1787
10354, 1934
10355, 1986
10356, 1934
10357, 1832
10358, 1683
10359, 1454
10360, 1266
10361, 1144
10362, 1083
10363, 1029
10364, 1047
10365, 1149
10366, 1244
10367, 1416
10368, 1613
10369, 1777
10370, 1934
10371, 1994
10372, 1948
10373, 1857
10374, 1743
10375, 1532
10376, 1322
10377, 1182
10378, 1108
10379, 1045
10380, 1034
10381, 1128
10382, 1246
10383, 1390
10384, 1560
10385, 1703
10386, 1850
10387, 1964
10388, 1976
10389, 1905
10390, 1793
10391, 1597
10392, 1403
10393, 1266
10395, 1153
10396, 1057
10397, 976
10398, 1019
10399, 1165
10400, 1272
10401, 1390
10402, 1532
10403, 1746
10404, 1951
10405, 2027
10406, 1956
10407, 1781
10408, 1581
10409, 1376
10410, 1328
10411, 1396
10412, 1322
10413, 1083
10414, 974
10415, 1033
10416, 1176
10417, 1410
